ID,Equipment_ID,Station_Type,Station_ID,Active,Date_Activated,Activated_Note,Date_Deactivated,Deactivated_Note,Last_Update_Date,Last_Update_By,Station_Name,Date_Activated_ISO,Last_Update_Date_ISO
7011976,EQ651319,A,380685,1,19-Aug-2025 10:06:55,,,,19-Aug-2025 10:06:55,mpazilah,NISTCAL03,2025-08-19T10:06:55,2025-08-19T10:06:55
7000604,PA1503,A,380609,1,26-Feb-2025 10:33:56,,,,26-Feb-2025 10:33:56,mpazilah,BBox1,2025-02-26T10:33:56,2025-02-26T10:33:56
